LOC_PID,overlap_area,LOC_NAME,area,sa2,detail
loc1f73672977ce,"[(217041479, 0.0039473144078965745), (217041480, 0.002755730610379618)]",Warrnambool,"[217041479, 0.5888837680686944]",217041479,"[[217041479, 0.5888837680686944], [217041480, 0.41111623193130564]]"
loc20067eb0384a,"[(209041527, 0.0009628614413233709), (209041528, 0.0005123810732478798)]",Doreen,"[209041527, 0.6526801063642116]",209041527,"[[209041527, 0.6526801063642116], [209041528, 0.34731989363578836]]"
loc201e214973bd,"[(209011200, 4.707118356602903e-05), (209011199, 0.0005152396280543135)]",Ivanhoe,"[209011199, 0.9162897412013301]",209011199,"[[209011200, 0.08371025879866997], [209011199, 0.9162897412013301]]"
loc21871af600bf,"[(209031209, 0.00011657767682338681), (209011197, 0.0002994645270551194)]",Eltham North,"[209011197, 0.7197936273373118]",209011197,"[[209031209, 0.2802063726626882], [209011197, 0.7197936273373118]]"
loc22c42e389de3,"[(209041435, 0.0013382494824247164), (209041436, 0.0007891054371737597)]",South Morang,"[209041435, 0.6290673314997678]",209041435,"[[209041435, 0.6290673314997678], [209041436, 0.3709326685002322]]"
loc29841cc6d6f1,"[(213041571, 0.001063999931776744), (213041578, 2.9402842401704014e-05)]",Brookfield,"[213041571, 0.9731088642757502]",213041571,"[[213041571, 0.9731088642757502], [213041578, 0.026891135724249907]]"
loc29a798d6921b,"[(213051468, 0.001097270811689262), (213051467, 0.0007913491899872382), (213051368, 0.0024724088778375923)]",Werribee,"[213051368, 0.5669324707872764]",213051368,"[[213051468, 0.25160824245940794], [213051467, 0.18145928675331555], [213051368, 0.5669324707872764]]"
loc2c4c767ea9b7,"[(209021429, 0.0007906015714277705), (209021428, 0.00035772782457507517), (209021525, 1.447191713884498e-05), (209021526, 8.841597884976763e-06)]",Preston,"[209021429, 0.6747803140250263]",209021429,"[[209021429, 0.6747803140250263], [209021428, 0.3053215456760725], [209021525, 0.012351815559711597], [209021526, 0.007546324739189688]]"
loc2d817b7080e2,"[(208041195, 1.6953650796604952e-05), (208041194, 0.0007729394098548938)]",Malvern East,"[208041194, 0.9785367771396527]",208041194,"[[208041195, 0.02146322286034731], [208041194, 0.9785367771396527]]"
loc31f384e524fe,"[(206041509, 5.0794115885229874e-05), (206041508, 8.225741838378608e-05), (206051512, 8.813252397198402e-06)]",Southbank,"[206041508, 0.5798297119166359]",206041508,"[[206041509, 0.358045975177339], [206041508, 0.5798297119166359], [206051512, 0.06212431290602513]]"
loc3271d3814fc5,"[(210031236, 3.6314400033864347e-06), (209021429, 0.0004880098796617333)]",Coburg North,"[209021429, 0.992613639541404]",209021429,"[[210031236, 0.0073863604585960784], [209021429, 0.992613639541404]]"
loc3319215a0a10,"[(208011169, 0.0008380253148132438), (208011172, 1.3319946698943014e-05), (208011170, 6.019612436767714e-06)]",Brighton,"[208011169, 0.9774430237074744]",208011169,"[[208011169, 0.9774430237074744], [208011172, 0.015535913709168417], [208011170, 0.007021062583357138]]"
loc34a55c4d0462,"[(213011334, 0.0006666272643991119), (213011335, 0.0006359949407799575)]",St Albans,"[213011334, 0.5117579462016555]",213011334,"[[213011334, 0.5117579462016555], [213011335, 0.4882420537983446]]"
loc3754c5fc3408,"[(210051545, 0.000353716027805439), (210051544, 0.00034412124083301924)]",Roxburgh Park,"[210051545, 0.5068746593250458]",210051545,"[[210051545, 0.5068746593250458], [210051544, 0.49312534067495417]]"
