LOC_PID,overlap_area,LOC_NAME,area,sa2,detail
loce6085a4cf5c8,"[(213041575, 3.827114302733978e-05), (213011339, 0.000798002767827197)]",Hillside,"[213011339, 0.9542361150687664]",213011339,"[[213041575, 0.045763884931233664], [213011339, 0.9542361150687664]]"
loceac5d85ea01d,"[(213051590, 0.0022633911621004216), (213051589, 0.00040164735905689065)]",Wyndham Vale,"[213051590, 0.8492902238116722]",213051590,"[[213051590, 0.8492902238116722], [213051589, 0.1507097761883278]]"
loceb44a3a54ace,"[(209041531, 0.0015133957249452096), (209041532, 0.0007763003750725296)]",Mernda,"[209041531, 0.6609592097979661]",209041531,"[[209041531, 0.6609592097979661], [209041532, 0.3390407902020339]]"
loced93b3da3f2b,"[(209041530, 0.00033930891930608587), (209041529, 0.0006062017674583894)]",Lalor,"[209041529, 0.6411368754940292]",209041529,"[[209041530, 0.35886312450597085], [209041529, 0.6411368754940292]]"
locf10c34e07e7d,"[(206051129, 0.00026096706684037316), (206051513, 3.319180415135533e-06)]",Elwood,"[206051129, 0.9874409642968422]",206051129,"[[206051129, 0.9874409642968422], [206051513, 0.012559035703157835]]"
locf16910f90fb9,"[(208031188, 0.00021636992619983786), (208011171, 0.00015927854739706312)]",Highett,"[208031188, 0.5759904309687653]",208031188,"[[208031188, 0.5759904309687653], [208011171, 0.42400956903123466]]"
locf51f6cd689bb,"[(206051512, 4.2708490859007654e-05), (206051511, 0.0001787854926848771)]",South Melbourne,"[206051511, 0.8071799054056663]",206051511,"[[206051512, 0.19282009459433372], [206051511, 0.8071799054056663]]"
locf5fef268f8cd,"[(213051363, 0.00030836751688239234), (213051587, 8.281836268189647e-05)]",Williams Landing,"[213051363, 0.7882889771631294]",213051363,"[[213051363, 0.7882889771631294], [213051587, 0.21171102283687063]]"
locf72490d7eaa6,"[(213051362, 0.0010877856749048145), (213051361, 0.0007179045317378779)]",Hoppers Crossing,"[213051362, 0.6024209861155125]",213051362,"[[213051362, 0.6024209861155125], [213051361, 0.39757901388448735]]"
locfb463ae5ac4b,"[(212011546, 0.0010768714737548117), (212021553, 6.0308660704335886e-05)]",Beaconsfield,"[212011546, 0.9469664841331236]",212011546,"[[212011546, 0.9469664841331236], [212021553, 0.05303351586687644]]"
locfd8472c41cbe,"[(211011256, 0.0008236757283031328), (211011258, 0.0003924921716174267), (211011257, 0.0009585569770068791)]",Rowville,"[211011257, 0.44077160618182515]",211011257,"[[211011256, 0.3787493935632279], [211011258, 0.18047900025494698], [211011257, 0.44077160618182515]]"
locfe955a87410d,"[(206051514, 6.3948131956980795e-06), (206051513, 0.0001540104047479587), (206051134, 0.00016192499029973165)]",St Kilda,"[206051134, 0.5023574773899679]",206051134,"[[206051514, 0.019839323253467506], [206051513, 0.47780319935656457], [206051134, 0.5023574773899679]]"
